Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_003

  [122/144] DeepSeek-V3.2-reasoner/A/七律仄起首句入韵  66.47s 0err 11993tok
  [123/144] DeepSeek-V3.2-reasoner/A/七绝仄起首句入韵  31.34s 0err 8133tok
  [124/144] DeepSeek-V3.2-reasoner/A/五律仄起  46.85s 0err 7705tok
  [125/144] DeepSeek-V3.2-reasoner/A/七绝平起首句入韵  38.63s 0err 7951tok
  [126/144] DeepSeek-V3.2-reasoner/A/五绝仄起  28.6s 0err 5646tok
  [127/144] DeepSeek-V3.2-reasoner/A/七绝平起  32.0s 0err 5837tok
  [128/144] DeepSeek-V3.2-reasoner/A/五律平起  36.78s 0err 8392tok
  [129/144] DeepSeek-V3.2-reasoner/A/七律平起  45.46s 0err 7734tok
  [130/144] DeepSeek-V3.2-reasoner/A/五律仄起首句入韵  48.15s 0err 9776tok
  [131/144] DeepSeek-V3.2-reasoner/A/七律仄起  49.24s 0err 8576tok
  [132/144] DeepSeek-V3.2-reasoner/A/五绝平起  14.98s 0err 5131tok
  [133/144] DeepSeek-V3.2-reasoner/A/五绝平起首句入韵  12.19s 0err 5585tok
  [134/144] DeepSeek-V3.2-reasoner/A/五绝仄起首句入韵  29.69s 0err 6196tok
  [135/144] DeepSeek-V3.2-reasoner/A/五律平起首句入韵  30.63s 0err 8461tok
  [136/144] DeepSeek-V3.2-reasoner/A/七绝仄起  84.42s 0err 14065tok
  [137/144] DeepSeek-V3.2-reasoner/A/戚氏  105.85s 0err 23425tok
  [138/144] DeepSeek-V3.2-reasoner/A/皂罗特髻  106.29s 0err 18524tok
  [139/144] DeepSeek-V3.2-reasoner/A/调笑令  106.85s 0err 19074tok
  [140/144] DeepSeek-V3.2-reasoner/A/六州歌头  144.3s 0err 30871tok
  [141/144] DeepSeek-V3.2-reasoner/A/西江月  57.91s 0err 10884tok
  [142/144] DeepSeek-V3.2-reasoner/A/定风波  135.92s 0err 29284tok
  [143/144] DeepSeek-V3.2-reasoner/A/减字木兰花  145.59s 14err 26548tok
  [144/144] DeepSeek-V3.2-reasoner/A/翠楼吟  124.65s 0err 18694tok
  DeepSeek-V3.2-reasoner/A: done (144 completed)

All done. Results in results/run_003/
