Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  [123/144] DeepSeek-V4-Pro/D1/七绝仄起首句入韵  12.96s 0err 7650tok
  [124/144] DeepSeek-V4-Pro/D1/五律仄起  20.56s 0err 5800tok
  [125/144] DeepSeek-V4-Pro/D1/七绝平起首句入韵  13.27s 0err 8045tok
  [126/144] DeepSeek-V4-Pro/D1/五律平起  19.65s 0err 4533tok
  [127/144] DeepSeek-V4-Pro/D1/五绝仄起  5.09s 0err 3080tok
  [128/144] DeepSeek-V4-Pro/D1/七绝平起  57.33s 0err 8641tok
  [129/144] DeepSeek-V4-Pro/D1/七绝仄起  24.75s 0err 4999tok
  [130/144] DeepSeek-V4-Pro/D1/七律平起  17.89s 0err 4367tok
  [131/144] DeepSeek-V4-Pro/D1/七律仄起  51.88s 0err 11999tok
  [132/144] DeepSeek-V4-Pro/D1/五律仄起首句入韵  10.28s 0err 7709tok
  [133/144] DeepSeek-V4-Pro/D1/五绝平起  18.89s 0err 4610tok
  [134/144] DeepSeek-V4-Pro/D1/五绝仄起首句入韵  22.8s 0err 5313tok
  [135/144] DeepSeek-V4-Pro/D1/五律平起首句入韵  6.1s 0err 3255tok
  [136/144] DeepSeek-V4-Pro/D1/五绝平起首句入韵  13.69s 0err 4055tok
  [137/144] DeepSeek-V4-Pro/D1/戚氏  53.02s 0err 9525tok
  [138/144] DeepSeek-V4-Pro/D1/皂罗特髻  37.99s 0err 7309tok
  [139/144] DeepSeek-V4-Pro/D1/六州歌头  183.2s 4err 36497tok
  [140/144] DeepSeek-V4-Pro/D1/调笑令  175.15s 16err 29059tok
  [141/144] DeepSeek-V4-Pro/D1/定风波  91.73s 0err 19206tok
  [142/144] DeepSeek-V4-Pro/D1/西江月  17.64s 0err 5900tok
  [143/144] DeepSeek-V4-Pro/D1/翠楼吟  21.14s 0err 5401tok
  [144/144] DeepSeek-V4-Pro/D1/减字木兰花  181.13s 0err 30819tok
  DeepSeek-V4-Pro/D1: done (144 completed)

All done. Results in results/run_002/
