Experiment: 8 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_002

  [50/144] DeepSeek-V4-Pro/C/倦寻芳  3.45s 1err 236tok
  [51/144] DeepSeek-V4-Pro/C/甘露滴乔松  3.52s 1err 245tok
  [52/144] DeepSeek-V4-Pro/C/绕池游慢  0.81s 1err 133tok
  [40/144] gpt-5.4/C/多丽  6.8s 1err 313tok
  [53/144] DeepSeek-V4-Pro/C/穆护砂  5.89s 1err 325tok
  [10/144] MiniMax-M2.5/C/沁园春  80.54s 1err 8233tok
  [11/144] DeepSeek-V3.2-reasoner/C/疏影  9.15s 2err 1641tok
  [54/144] DeepSeek-V4-Pro/C/胜州令  2.08s 1err 187tok
  [41/144] gpt-5.4/C/玲珑四犯  5.46s 1err 278tok
  [55/144] DeepSeek-V4-Pro/C/索酒  3.57s 1err 266tok
  [42/144] gpt-5.4/C/绛都春  5.65s 1err 289tok
  [32/144] Qwen3.5-27B/C/解连环  38.8s 1err 264tok
  [56/144] DeepSeek-V4-Pro/C/落梅  2.1s 1err 196tok
  [57/144] DeepSeek-V4-Pro/C/远朝归  1.67s 1err 177tok
  [58/144] DeepSeek-V4-Pro/C/花发状元红慢  3.5s 1err 253tok
  [59/144] DeepSeek-V4-Pro/C/行香子慢  2.76s 1err 231tok
  [12/144] DeepSeek-V3.2-reasoner/C/声声慢  3.59s 40err 385tok
  [33/144] Qwen3.5-27B/C/绮罗香  3.05s 1err 279tok
  [60/144] DeepSeek-V4-Pro/C/逍遥乐  1.86s 1err 184tok
  [43/144] gpt-5.4/C/法曲献仙音  7.34s 1err 299tok
  [61/144] DeepSeek-V4-Pro/C/长寿仙  1.63s 1err 170tok
  [13/144] DeepSeek-V3.2-reasoner/C/高阳台  39.61s 4err 768tok
  [34/144] Qwen3.5-27B/C/暗香  4.21s 1err 262tok
  [44/144] gpt-5.4/C/庆春宫  5.15s 1err 298tok
  [12/144] claude-opus-4-6/C/八声甘州  32.64s 5err 1658tok
  [45/144] gpt-5.4/C/琵琶仙  5.21s 1err 283tok
  [62/144] DeepSeek-V4-Pro/C/雪夜渔舟  3.34s 41err 256tok
  [11/144] MiniMax-M2.5/C/疏影  7.88s 16err 501tok
  [12/144] MiniMax-M2.5/C/高阳台  69.88s 1err 6876tok
  [63/144] DeepSeek-V4-Pro/C/飞龙宴  3.26s 1err 249tok
  [35/144] Qwen3.5-27B/C/莺啼序  7.18s 1err 430tok
  [46/144] gpt-5.4/C/解语花  6.17s 7err 287tok
  [64/144] DeepSeek-V4-Pro/C/金浮图  3.26s 10err 245tok
  [47/144] gpt-5.4/C/石州慢  6.04s 1err 301tok
  [65/144] DeepSeek-V4-Pro/C/三台（大曲）  2.02s 1err 191tok
  [66/144] DeepSeek-V4-Pro/C/六花飞  2.85s 1err 252tok
  [48/144] gpt-5.4/C/选冠子  7.08s 1err 305tok
  [67/144] DeepSeek-V4-Pro/C/内家娇  3.13s 1err 254tok
  [68/144] DeepSeek-V4-Pro/C/个侬  3.99s 1err 274tok
  [36/144] Qwen3.5-27B/C/凤凰台上忆吹箫  13.32s 1err 273tok
  [69/144] DeepSeek-V4-Pro/C/四槛花  1.75s 1err 179tok
  [37/144] Qwen3.5-27B/C/扫地游  6.73s 1err 277tok
  [70/144] DeepSeek-V4-Pro/C/大椿  2.01s 1err 188tok
  [71/144] DeepSeek-V4-Pro/C/征部乐  0.79s 1err 130tok
  [72/144] DeepSeek-V4-Pro/C/小圣乐  1.65s 1err 182tok
  [73/144] DeepSeek-V4-Pro/C/如鱼水  3.05s 1err 242tok
  [13/144] MiniMax-M2.5/C/木兰花慢  89.05s Noneerr 8234tok
  [74/144] DeepSeek-V4-Pro/C/惜寒梅  1.29s 1err 153tok
  [38/144] Qwen3.5-27B/C/多丽  3.32s 1err 315tok
  [49/144] gpt-5.4/C/甘露滴乔松  4.56s 1err 255tok
  [50/144] gpt-5.4/C/倦寻芳  5.08s 1err 291tok
  [51/144] gpt-5.4/C/穆护砂  5.24s 1err 278tok
  [52/144] gpt-5.4/C/意难忘  5.56s 1err 288tok
  [75/144] DeepSeek-V4-Pro/C/恋芳春慢  3.05s 0err 250tok
  [76/144] DeepSeek-V4-Pro/C/无闷  3.2s 51err 256tok
  [77/144] DeepSeek-V4-Pro/C/早梅芳慢  3.47s 1err 257tok
  [78/144] DeepSeek-V4-Pro/C/望明河  0.85s 1err 131tok
  [79/144] DeepSeek-V4-Pro/C/春雪间早梅  4.38s 1err 272tok
  [80/144] DeepSeek-V4-Pro/C/望南云慢  3.08s 1err 248tok
  [53/144] gpt-5.4/C/胜州令  3.94s 1err 226tok
  [13/144] claude-opus-4-6/C/声声慢  26.52s 1err 1474tok
  [14/144] claude-opus-4-6/C/瑞鹤仙  32.38s 1err 1670tok
  [54/144] gpt-5.4/C/索酒  5.23s 1err 284tok
  [39/144] Qwen3.5-27B/C/玲珑四犯  7.85s 1err 268tok
  [15/144] claude-opus-4-6/C/疏影  29.46s 16err 1471tok
  [55/144] gpt-5.4/C/绕池游慢  5.46s 85err 287tok
  [81/144] DeepSeek-V4-Pro/C/清风满桂楼  1.55s 1err 152tok
  [56/144] gpt-5.4/C/花发状元红慢  5.36s 1err 302tok
  [82/144] DeepSeek-V4-Pro/C/期夜月  2.01s 1err 182tok
  [83/144] DeepSeek-V4-Pro/C/杏花天慢  2.19s 1err 193tok
  [84/144] DeepSeek-V4-Pro/C/梦扬州  3.98s 1err 258tok
  [57/144] gpt-5.4/C/落梅  3.83s 1err 220tok
  [85/144] DeepSeek-V4-Pro/C/玉连环  0.64s 1err 129tok
  [86/144] DeepSeek-V4-Pro/C/澡兰香  3.7s 1err 264tok
  [87/144] DeepSeek-V4-Pro/C/玉梅香慢  3.28s 1err 242tok
  [58/144] gpt-5.4/C/远朝归  4.62s 1err 221tok
  [88/144] DeepSeek-V4-Pro/C/玉抱肚  4.46s 1err 320tok
  [59/144] gpt-5.4/C/行香子慢  6.03s 1err 331tok
  [89/144] DeepSeek-V4-Pro/C/瑞云浓慢  1.92s 1err 190tok
  [60/144] gpt-5.4/C/逍遥乐  5.87s 1err 290tok
  [16/144] claude-opus-4-6/C/永遇乐  25.56s 1err 1572tok
  [90/144] DeepSeek-V4-Pro/C/红芍药  1.86s 1err 185tok
  [7/144] gemini-3.1-pro-preview/C/沁园春  55.79s 5err 6604tok
  [91/144] DeepSeek-V4-Pro/C/舜韶新  0.72s 1err 131tok
  [92/144] DeepSeek-V4-Pro/C/真珠髻  3.28s 1err 245tok
  [93/144] DeepSeek-V4-Pro/C/翠羽吟  3.44s 1err 256tok
  [61/144] gpt-5.4/C/金浮图  6.58s 1err 279tok
  [94/144] DeepSeek-V4-Pro/C/西吴曲  1.61s 1err 187tok
  [40/144] Qwen3.5-27B/C/扬州慢  29.68s 1err 259tok
  [62/144] gpt-5.4/C/长寿仙  5.21s 1err 279tok
  [95/144] DeepSeek-V4-Pro/C/蜀溪春  3.37s 1err 255tok
  [63/144] gpt-5.4/C/雪夜渔舟  5.68s 1err 299tok
  [64/144] gpt-5.4/C/飞龙宴  5.27s 1err 228tok
  [41/144] Qwen3.5-27B/C/解语花  2.94s 1err 260tok
  [96/144] DeepSeek-V4-Pro/C/菩萨蛮慢  4.52s 3err 293tok
  [97/144] DeepSeek-V4-Pro/C/赏松菊  1.97s 1err 188tok
  [65/144] gpt-5.4/C/个侬  3.55s 1err 219tok
  [66/144] gpt-5.4/C/内家娇  3.68s 1err 219tok
  [98/144] DeepSeek-V4-Pro/C/采明珠  2.17s 1err 180tok
  [67/144] gpt-5.4/C/六花飞  4.77s 1err 261tok
  [99/144] DeepSeek-V4-Pro/C/雪明鳷鹊夜  3.28s 1err 245tok
  [100/144] DeepSeek-V4-Pro/C/阳台路  3.36s 1err 258tok
  [42/144] Qwen3.5-27B/C/庆春宫  3.54s 1err 260tok
  [101/144] DeepSeek-V4-Pro/C/蝶恋花  1.92s 3err 190tok
  [68/144] gpt-5.4/C/三台（大曲）  6.1s 1err 294tok
  [102/144] DeepSeek-V4-Pro/C/踏莎行  1.15s 1err 156tok
  [103/144] DeepSeek-V4-Pro/C/忆江南  1.23s 1err 152tok
  [104/144] DeepSeek-V4-Pro/C/渔家傲  1.93s 19err 195tok
  [105/144] DeepSeek-V4-Pro/C/荷华媚  0.98s 1err 141tok
  [106/144] DeepSeek-V4-Pro/C/洞仙歌  2.2s 1err 196tok
