Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  [120/144] gpt-5.4/D1/醉高歌  22.19s 19err 5746tok
  [121/144] gpt-5.4/D1/七律平起首句入韵  11.8s 0err 3751tok
  [122/144] gpt-5.4/D1/五律仄起  5.68s 0err 2521tok
  [123/144] gpt-5.4/D1/七律仄起首句入韵  17.86s 0err 4184tok
  [124/144] gpt-5.4/D1/七绝仄起首句入韵  8.9s 0err 2817tok
  [125/144] gpt-5.4/D1/七绝平起首句入韵  19.19s 0err 4205tok
  [126/144] gpt-5.4/D1/五律平起  22.8s 0err 3675tok
  [127/144] gpt-5.4/D1/五绝仄起  6.28s 0err 2457tok
  [128/144] gpt-5.4/D1/七绝平起  23.69s 0err 3688tok
  [129/144] gpt-5.4/D1/七绝仄起  20.03s 0err 3427tok
  [130/144] gpt-5.4/D1/七律仄起  23.32s 18err 5176tok
  [131/144] gpt-5.4/D1/七律平起  12.61s 0err 3004tok
  [132/144] gpt-5.4/D1/五绝平起  6.11s 0err 2458tok
  [133/144] gpt-5.4/D1/五律仄起首句入韵  21.67s 0err 3693tok
  [134/144] gpt-5.4/D1/五绝仄起首句入韵  7.9s 0err 2782tok
  [135/144] gpt-5.4/D1/五律平起首句入韵  15.69s 0err 3482tok
  [136/144] gpt-5.4/D1/五绝平起首句入韵  37.59s 0err 4535tok
  [137/144] gpt-5.4/D1/六州歌头  24.03s 81err 8019tok
  [138/144] gpt-5.4/D1/戚氏  26.82s 1err 5404tok
  [139/144] gpt-5.4/D1/皂罗特髻  22.3s 1err 6347tok
  [140/144] gpt-5.4/D1/定风波  29.68s 0err 5840tok
  [141/144] gpt-5.4/D1/调笑令  49.55s 1err 6874tok
  [142/144] gpt-5.4/D1/减字木兰花  26.65s 21err 7042tok
  [143/144] gpt-5.4/D1/西江月  40.36s 1err 6068tok
  [144/144] gpt-5.4/D1/翠楼吟  26.53s 1err 5321tok
  gpt-5.4/D1: done (144 completed)

All done. Results in results/run_002/
